,experiment,users,parameter,type,value
0,3_test_mirador_,20,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,18893.51
0,3_test_mirador_,20,tr_change_manually_canvas_2,mean,73.5
0,3_test_mirador_,20,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.4
0,3_test_mirador_,20,session,mean,26000.0
0,3_test_mirador_,20,tr_change_canvas,mean,21.599999999999998
0,3_test_mirador_,20,request,mean,23.63
0,3_test_mirador_,20,tr_init_load_page,mean,163.20000000000002
0,3_test_mirador_,20,connect,mean,45.74
0,3_test_mirador_,20,page,mean,43.8
0,3_test_mirador_,20,tr_zoom,mean,19.2
0,3_test_mirador_,20,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,1.94
0,3_test_mirador_,20,tr_change_manually_canvas,mean,6.6
0,3_test_mirador_,20,request,ratemean,13.87
0,3_test_mirador_,20,tr_init_load_page,ratemean,0.0
0,3_test_mirador_,20,tr_change_canvas,ratemean,0.11
0,3_test_mirador_,20,session,ratemean,0.13
0,3_test_mirador_,20,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.11
0,3_test_mirador_,20,tr_change_manually_canvas,ratemean,0.13
0,3_test_mirador_,20,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.11
0,3_test_mirador_,20,connect,ratemean,0.4
0,3_test_mirador_,20,tr_zoom,ratemean,0.12
0,3_test_mirador_,20,page,ratemean,0.48
0,3_test_mirador_,20,users,ratemean,0.86
0,3_test_mirador_,20,tr_change_manually_canvas_2,ratemean,0.13
0,3_test_mirador_,20,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.11
0,3_test_mirador_,20,200,ratemean,13.87
0,3_test_mirador_,20,connected,ratemean,-0.12
0,3_test_mirador_,20,finish_users_count,ratemean,0.13
0,3_test_mirador_,20,users_count,ratemean,0.0
0,3_test_mirador_,20,size_rcv_rate,rate,4582277.12
0,3_test_mirador_,20,size_rcv,maxmean,50.18
0,3_test_mirador_,20,size_sent_rate,rate,107745.28
0,3_test_mirador_,20,size_sent,maxmean,1.01
0,3_test_mirador_,40,connect,mean,36.77
0,3_test_mirador_,40,request,mean,78.57
0,3_test_mirador_,40,page,mean,144.0
0,3_test_mirador_,40,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.28
0,3_test_mirador_,40,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,1.9
0,3_test_mirador_,40,tr_init_load_page,mean,588.0
0,3_test_mirador_,40,tr_zoom,mean,33.6
0,3_test_mirador_,40,tr_change_manually_canvas,mean,17.4
